line_no,word,declared_cefr,per_def_cefr_uniform,n_senses,n_non_null
62,stimulant,UNCLASSIFIED,C2,1,1
64,addictive,UNCLASSIFIED,C1,1,1
76,dehydrated,UNCLASSIFIED,C2,1,1
96,shoddy,UNCLASSIFIED,C2,1,1
122,primitive,UNCLASSIFIED,C1,1,1
132,embryo,UNCLASSIFIED,C1,1,1
148,glitch,UNCLASSIFIED,C2,2,2
172,burnout,UNCLASSIFIED,C2,1,1
180,intimacy,UNCLASSIFIED,C2,1,1
202,affirm,UNCLASSIFIED,C1,1,1
205,wither,UNCLASSIFIED,C2,1,1
223,consolidation,UNCLASSIFIED,C1,1,1
240,plague,UNCLASSIFIED,C2,1,1
299,sabotage,UNCLASSIFIED,C2,1,1
303,anecdote,UNCLASSIFIED,B2,1,1
310,resilient,UNCLASSIFIED,C2,1,1
318,paranoid,UNCLASSIFIED,C2,2,2
322,inconvenience,UNCLASSIFIED,C1,2,2
339,dread,UNCLASSIFIED,C1,1,1
355,insecurity,UNCLASSIFIED,C1,1,1
356,lush,UNCLASSIFIED,C1,1,1
447,greed,UNCLASSIFIED,C1,2,2
468,aspiring,UNCLASSIFIED,C1,1,1
470,labor,UNCLASSIFIED,B2,2,2
519,recess,UNCLASSIFIED,C2,3,3
524,chapel,UNCLASSIFIED,C2,3,3
1368,striking,B2,C1,2,2
1369,strip,UNCLASSIFIED,C1,2,2
1370,strip,UNCLASSIFIED,C1,3,3
1584,coherent,UNCLASSIFIED,C1,2,2
1585,compatible,UNCLASSIFIED,C1,2,2
1587,conform,UNCLASSIFIED,C1,2,2
1589,contradict,UNCLASSIFIED,C1,2,2
1590,convene,UNCLASSIFIED,C2,2,2
1595,depress,UNCLASSIFIED,C2,1,1
1598,discriminate,UNCLASSIFIED,C1,1,1
1600,erode,UNCLASSIFIED,C1,1,1
1605,implicit,UNCLASSIFIED,C1,1,1
1611,manual,UNCLASSIFIED,C2,1,1
1612,mediate,UNCLASSIFIED,C2,2,2
1613,migrate,UNCLASSIFIED,C1,1,1
1622,refine,UNCLASSIFIED,C1,1,1
1625,rigid,UNCLASSIFIED,C1,1,1
2475,contagious,UNCLASSIFIED,C1,1,1
2478,subjective,UNCLASSIFIED,B2,1,1
2481,immature,UNCLASSIFIED,B2,1,1
2484,mutation,UNCLASSIFIED,C1,1,1
2486,fatigue,UNCLASSIFIED,C1,1,1
2491,hallucination,UNCLASSIFIED,C2,1,1
2496,paradox,UNCLASSIFIED,C1,1,1
2500,hospitable,UNCLASSIFIED,C1,1,1
2506,devour,UNCLASSIFIED,C1,1,1
2511,validate,UNCLASSIFIED,C2,1,1
2513,congruence,UNCLASSIFIED,C2,1,1
2516,poised,UNCLASSIFIED,C2,1,1
2523,leverage,UNCLASSIFIED,C2,1,1
2525,deception,UNCLASSIFIED,C1,1,1
2529,handicap,UNCLASSIFIED,C2,2,2
2536,agile,UNCLASSIFIED,C2,3,3
2538,sanctuary,UNCLASSIFIED,C1,1,1
2539,sanctuary,UNCLASSIFIED,C2,1,1
2540,restorative,UNCLASSIFIED,C2,1,1
2552,cascade,UNCLASSIFIED,C2,1,1
2560,pigment,UNCLASSIFIED,C2,1,1
2561,toxicity,UNCLASSIFIED,C2,1,1
2564,contaminate,UNCLASSIFIED,C1,1,1
2566,labor,UNCLASSIFIED,C2,1,1
2571,navigate,UNCLASSIFIED,B2,2,2
2572,navigate,UNCLASSIFIED,C1,1,1
2573,springboard,UNCLASSIFIED,C2,1,1
2574,timeline,UNCLASSIFIED,B2,1,1
2579,scramble,UNCLASSIFIED,C2,1,1
2649,fit,C1,B2,1,1
2694,pop,C1,C2,2,2
2730,strip,UNCLASSIFIED,C2,2,2
2751,total,C1,C2,1,1
2785,migrate,UNCLASSIFIED,B2,1,1
2792,tackle,B2,C1,3,3
2793,trace,B2,C1,3,3
2795,trigger,B2,C2,1,1
2796,hook,B2,C1,1,1
2844,craft,B2,C2,1,1
2863,deposit,B2,C1,3,3
2864,deposit,B2,C2,1,1
2989,rocky,UNCLASSIFIED,C2,1,1
